route_id,flight_num,origin_airport,destination_airport,aircraft_id,distance_miles
1,1111,EWR,HNL,767-301ER,4962
2,1112,HNL,EWR,767-301ER,4962
3,1113,EWR,LHR,A321,3466
4,1114,JFK,LAX,767-301ER,2475
5,1115,LAX,JFK,767-301ER,2475
6,1116,HNL,LAX,767-301ER,2556
10,1120,HNL,DEN,A321,3365
12,1122,ABI,ADK,767-301ER,4300
13,1123,ADK,BQN,A321,2232
14,1124,BQN,CAK,A321,2445
18,1128,ANI,BGR,ERJ142,2450
19,1129,ATW,AVL,A321,2222
20,1130,AVL,BOI,767-301ER,3134
21,1131,BFL,BET,A321,2425
23,1133,BLV,BFL,767-301ER,2354
25,1135,RDM,BJI,A321,2425
34,1144,CRW,COD,A321,2452
35,1145,STT,CDB,ERJ142,2121
43,1153,CBM,BOI,A321,8989
44,1154,COU,CAK,767-301ER,7676
46,1156,CDV,HNL,767-301ER,8668
48,1158,SCC,DEN,A321,5645
49,1159,DEC,ABI,A321,4533
50,1160,DRT,ORD,A321,2445
