ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
12789250,JF351068,"01-01-2022 00:00","079XX S ST LAWRENCE AVE",810,THEFT,"OVER $500",RESIDENCE,FALSE,FALSE,624,6,6,44,6,1181612,1852489,2022,"11-12-2022 15:46",41.75046233,-87.61005899,"(41.75046233, -87.610058986)"
12916340,JF502553,"01-01-2022 00:00","050XX S ARTESIAN AVE",810,THEFT,"OVER $500","SCHOOL - PUBLIC BUILDING",FALSE,FALSE,923,9,14,63,6,1160882,1871145,2022,"12-10-2022 15:46",41.80211009,-87.68550846,"(41.80211009, -87.685508459)"
12582401,JF100696,"01-01-2022 00:00","001XX E ONTARIO ST",810,THEFT,"OVER $500",RESTAURANT,FALSE,FALSE,1834,18,42,8,6,1177137,1904514,2022,"10-11-2022 16:45",41.89332536,-87.62488541,"(41.893325357, -87.624885406)"
12591964,JF112288,"01-01-2022 00:00","001XX S ASHLAND AVE",810,THEFT,"OVER $500","CONSTRUCTION SITE",FALSE,FALSE,1224,12,28,28,6,1165777,1899437,2022,"11-12-2022 15:46",41.87964349,-87.66675118,"(41.87964349, -87.666751182)"
12583742,JF102453,"01-01-2022 00:00","045XX S ROCKWELL ST",810,THEFT,"OVER $500",APARTMENT,FALSE,FALSE,922,9,15,58,6,1159793,1874504,2022,"11-12-2022 15:46",41.81135007,-87.68940999,"(41.811350067, -87.689409993)"
12583340,JF101772,"01-01-2022 00:00","090XX S LAFLIN ST",810,THEFT,"OVER $500",RESIDENCE,FALSE,FALSE,2222,22,21,73,6,1167922,1844748,2022,"11-12-2022 15:46",41.72952477,-87.6604472,"(41.729524765, -87.660447195)"
12598249,JF119825,"01-01-2022 00:00","003XX N CALIFORNIA AVE",810,THEFT,"OVER $500","COMMERCIAL / BUSINESS OFFICE",FALSE,FALSE,1222,12,27,27,6,1157670,1902069,2022,"11-12-2022 15:46",41.88703487,-87.69644722,"(41.887034873, -87.696447217)"
12613727,JF139205,"01-01-2022 00:00","034XX W 84TH ST",810,THEFT,"OVER $500",RESIDENCE,FALSE,FALSE,834,8,18,70,6,1155015,1848679,2022,"11-12-2022 15:46",41.74057926,-87.70762474,"(41.740579258, -87.707624743)"
12640325,JF171572,"01-01-2022 00:00","047XX S MARSHFIELD AVE",810,THEFT,"OVER $500",APARTMENT,FALSE,FALSE,931,9,20,61,6,1166137,1873359,2022,"11-12-2022 15:46",41.80807526,-87.66617316,"(41.80807526, -87.666173157)"
12702634,JF246958,"01-01-2022 00:00","012XX W VAN BUREN ST",810,THEFT,"OVER $500","RESIDENCE - GARAGE",FALSE,FALSE,1231,12,28,28,6,1168185,1898312,2022,"11-12-2022 15:46",41.87650474,-87.6579419,"(41.876504743, -87.657941902)"
